,Comment,Classes,ner_text,ner_comments
396,kabiito install apache2 php php mysql server also secure database withpassword secure server ssl certificate know create dns company email also install application like phpmyadmin remote ubuntu server ,Very Poor,"kabiito, apache2","kabiito, apache2"
397,asingwire managed set uplamp stack went ahead successfully set updns zone givencpanel resolved ubuntu server ip address able create company email well installing ssl certificate server perfectly installed php mysql secured withpassword also managed install phpmyadmin server ,Very Poor,,
398,calvin successfully completed weektasks setting development enviroment messaging app ,Excellent,,
399,edwin freely contact trainer whenever hefaced withchallenge love learning new thing ,Very Poor,edwin,edwin
400,commend sharifa diligence team leadership isneed improve reporting weekly task following described task progress logically follows next week shall go implementation phase execute first sprint line scrum methodology work read scrum methodology scrum org help team going forward ,Very Poor,"sharifa, weekly, next week, first","sharifa, weekly, next week, first"
401,charlotte freely consults incase ofchallenge ,Very Poor,charlotte,charlotte
402,francis started internship also managed set development enviroment formessaging app installing necessary software tool ,Poor,,
403,far emilly well determined bedeveloper ,Very Poor,,
404,pamella afraid ask questionwhen something clear ,Very Poor,,
405,isaacencourage improve attitude punctuality involves proper preparation session please consult colleague andrew best writeprogress report desired level clarity precisionlack data overcome discussing colleague audio conference made normal mobile phone somebody withgood number voice minuteslack knowledge overcome two way first sufficient reading using resource team member andhave shared secondly consulting regularly team member important buildcamaraderie project team member greatly contributes success team ,Very Poor,"andrew best, two, first, secondly","andrew best, two, first, secondly"
406,challenged internet always seeking guidance support platform ,Very Poor,,
407,commend nabil diligence punctuality exhibited weekalso encourage share weekly reporting tip colleague reported absolute clarity precision order address challenge highlighted need make good preparation online collaboration session avoid affected poor network also important note next week approval solution design document going proceed implementation working first sprint line scrum methodology work please read scrum scrum org ,Very Poor,"weekly, next week, first","weekly, next week, first"
408,time dauglas becomes anxious code doesncompile faceschallenge ,Very Poor,,
409,katumba interactive first weeksessions would ask understand end clearly understood whatwas training properly configuredlamp stack ssl also understood basic working cpanel example deploying system cpanel creating company email creating resolving dns zone linking toremote ubuntu server ,Very Poor,first,first
410,moses successfully set development enviroment ,Excellent,,
411,daniel successfully set development enviromentalso encourage upgrade machine ,Very Poor,,
