Comment,Classes
successfully completed weekmain task configuring routing protocol layer 3 device installing software operating system application software end device ,Excellent
managed complete weekmain task configuring vlans layer 2 device intervlan routing using router stick method ,Excellent
rafusanjani writeussd application small experience ,Very Poor
coding error part coding ian get used debugging error ,Very Poor
keep good work trevor team registered good progress ,Good
easily adapt new technology ,Very Poor
umaruattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good
thank sharifa leading team assignment please take note lesson learnt apply next assignment accordingly ,Very Poor
asingwire integrate sm application also write ussd application ,Very Poor
thank viola commitment resilienceencourage interact colleague share challenge facing learning writing code help ,Very Poor
